"item","date","price","trend_value","flag","sentiment","stars"
"B00Y9F5OPS","2015-12-07","599","56.25","1000.0","",""
"B00Y9F5OPS","2015-12-08","599","56.375","1000.0","",""
"B00Y9F5OPS","2015-12-09","599","56.5","1000.0","",""
"B00Y9F5OPS","2015-12-10","599","56.5625","1000.0","",""
"B00Y9F5OPS","2015-12-14","599","60.5","1000.0","",""
"B00Y9F5OPS","2015-12-15","599","62.25","1000.0","",""
"B00Y9F5OPS","2015-12-16","599","64","1000.0","",""
"B00Y9F5OPS","2015-12-17","599","64.875","1000.0","",""
"B00Y9F5OPS","2015-12-18","599","65.75","1000.0","",""
"B00Y9F5OPS","2015-12-19","599","67.5","1000.0","",""
"B00Y9F5OPS","2015-12-20","599","71","1000.0","",""
"B00Y9F5OPS","2015-12-21","599","68.25","1000.0","",""
"B00Y9F5OPS","2015-12-24","599","64.8125","1000.0","",""
"B00Y9F5OPS","2015-12-27","599","60","1000.0","",""
"B00Y9F5OPS","2015-12-28","599","57.25","1000.0","",""
"B00Y9F5OPS","2015-12-31","599","53.8125","1000.0","",""
"B00Y9F5OPS","2016-01-03","599","49","1000.0","",""
"B00Y9F5OPS","2016-01-05","599","48.25","1000.0","",""
"B00Y9F5OPS","2016-01-06","599","48","1000.0","",""
"B00Y9F5OPS","2016-01-07","599","47.875","1000.0","",""
"B00GQVQ376","2015-11-03","201.49","56.625","0.0","",""
"B00GQVQ376","2015-11-04","203.5","56.5","0.0","",""
"B00GQVQ376","2015-11-05","203.5","56.4375","0.0","",""
"B00GQVQ376","2015-11-06","203","56.375","0.0","",""
"B00GQVQ376","2015-11-07","202.99","56.25","0.0","",""
"B00GQVQ376","2015-11-08","202.97","56","0.0","",""
"B00GQVQ376","2015-11-09","202.94","55.5","0.0","",""
"B00GQVQ376","2015-11-10","202.89","55.25","0.0","",""
"B00GQVQ376","2015-11-11","202.89","55","0.0","",""
"B00GQVQ376","2015-11-12","203.49","54.875","0.0","",""
"B00GQVQ376","2015-11-13","201.65","54.75","0.0","",""
"B00GQVQ376","2015-11-14","200.89","54.5","0.0","",""
"B00GQVQ376","2015-11-15","196.81","54","0.0","",""
"B00GQVQ376","2015-11-16","194","57","0.0","",""
"B00GQVQ376","2015-11-17","192.89","58.5","0.0","",""
"B00GQVQ376","2015-11-18","191.44","60","0.0","",""
"B00GQVQ376","2015-11-19","185.33","60.75","0.0","",""
"B00GQVQ376","2015-11-20","189.8","61.5","0.0","",""
"B00GQVQ376","2015-11-21","209.95","63","0.0","",""
"B00GQVQ376","2015-12-03","209.99","55.125","1000.0","",""
"B00GQVQ376","2015-12-04","215.99","55.25","1000.0","",""
"B00GQVQ376","2015-12-05","204.59","55.5","1000.0","",""
"B00GQVQ376","2015-12-06","194.39","56","1000.0","",""
"B00GQVQ376","2015-12-07","204.69","56","1000.0","",""
"B00GQVQ376","2015-12-08","193.9","56","1000.0","",""
"B00GQVQ376","2015-12-09","190.89","56","1000.0","",""
"B00GQVQ376","2015-12-10","185","56","1000.0","",""
"B00GQVQ376","2015-12-14","203.99","59.75","1000.0","",""
"B00GQVQ376","2015-12-15","203.99","61.625","1000.0","",""
"B00GQVQ376","2015-12-16","198.35","63.5","1000.0","",""
"B00GQVQ376","2015-12-17","198.4","64.4375","1000.0","",""
"B00GQVQ376","2015-12-18","198.05","65.375","1000.0","",""
"B00GQVQ376","2015-12-19","198.99","67.25","1000.0","",""
"B00GQVQ376","2015-12-20","198.89","71","1000.0","",""
"B00GQVQ376","2015-12-21","194.39","68","1000.0","",""
"B00GQVQ376","2015-12-25","187.3","63.5","1000.0","",""
"B00GQVQ376","2015-12-28","192.49","56.5","1000.0","",""
"B00GQVQ376","2015-12-31","186.95","53.375","1000.0","",""
"B00GQVQ376","2016-01-03","190.47","49","1000.0","",""
"B00GQVQ376","2016-01-06","192.49","47.5","1000.0","",""
"B00GQVQ376","2016-01-07","185.65","47.3125","1000.0","",""
"B00GQVQ376","2016-01-14","194.98","46.5625","0.0","",""
"B00GQVQ376","2016-02-03","200.59","43.5","0.0","",""
"B00GQVQ376","2016-02-04","200.59","43.4375","0.0","",""
"B00GQVQ376","2016-02-05","200.59","43.375","0.0","",""
"B00GQVQ376","2016-02-06","200.59","43.25","0.0","",""
"B00GQVQ376","2016-02-17","200.59","43","0.0","",""
"B00GQVQ376","2016-02-18","196.99","42.875","0.0","",""
"B00GQVQ376","2016-02-19","200.59","42.75","0.0","",""
"B00GQVQ376","2016-02-20","200.59","42.5","0.0","",""
"B00GQVQ376","2016-02-23","212","42","0.0","",""
"B00GQVQ376","2016-02-24","212","42","0.0","",""
"B00GQVQ376","2016-02-25","199","42","0.0","",""
"B00GQVQ376","2016-02-26","209","42","0.0","",""
"B00G4DSSN8","2015-11-03","308","80.75","0.0","",""
"B00GOFU81Q","2015-11-03","196.5","80.75","0.0","",""
"B00OPY0QGA","2015-11-03","389.99","80.75","0.0","",""
"B00G4DSSN8","2015-11-04","308","80","0.0","",""
"B00OPY0QGA","2015-11-04","395","80","0.0","",""
"B00GOFU81Q","2015-11-04","196.5","80","0.0","",""
"B00OPY0QGA","2015-11-05","395.89","79.625","0.0","",""
"B00G4DSSN8","2015-11-05","308","79.625","0.0","",""
"B00GOFU81Q","2015-11-05","196","79.625","0.0","",""
"B00G4DSSN8","2015-11-06","308","79.25","0.0","",""
